"Name","Article_Number","Origin","Alcohol","Price","Volume","Manufacturer","Type","Region","Vintage","Is_New"
"Single Vineyard Chardonnay","652201","Chile","13,5 %","99,00 kr","750 ml","Cono Sur","Vitt","Casablanca Valley","2017","No"
"La Guita Manzanilla","820102","Spanien","15 %","59,00 kr","380 ml","Rainera Perez Marin","Starkvin","Jerez","Non Vintage","No"
"Philipponnat Royale Réserve Brut","7477606","Frankrike","12 %","750,00 kr","1.5 l","Champagne Philipponnat","Champagne","Champagne","Non Vintage","No"
"Philipponnat Royale Réserve Brut","7736301","Frankrike","12 %","399,00 kr","750 ml","Champagne Philipponnat","Champagne","Champagne","Non Vintage","No"
"Prosecco Treviso Brut Doc EKO","7702501","Italien","11 %","99,00 kr","750 ml","Le Contesse","Mousserande","Veneto","Non Vintage","No"
"Quinta da Aveleda Vinho Verde","7886601","Portugal","11,5 %","87,00 kr","750 ml","Quinta da Alveleda","Vitt","Minho","2017","No"
"Cornas ""Empreintes""","7391001","Frankrike","13,5 %","335,00 kr","750 ml","Domaine Eric & Joël Durand","Rött","Rhône","2014","No"
"Saint-Joseph ""Lautaret""","7614301","Frankrike","14 %","285,00 kr","750 ml","Domaine Eric & Joël Durand","Rött","Rhône","2015","No"
"Coteaux d’Aix en Provence EKO","7290901","Frankrike","13 %","125,00 kr","750 ml","Gassier","Rosé","Provence","2017","No"
"Soellner Fumberg Grüner Veltliner EKO","7466001","Österrike","13 %","169,00 kr","750 ml","Weingut Soellner","Vitt","Niederösterreich","2017","No"
"Rancho Zabaco Zinfandel","8994801","USA","15 %","199,00 kr","750 ml","Rancho Zabaco Winery","Rött","Kalifornien","2014","No"
"Sancerre Blanc","7894901","Frankrike","13 %","165,00 kr","750 ml","Domaine La Croix St-Laurent","Vitt","Loire","2017","No"
"Barefoot Zinfandel","600801","USA","13,5 %","89,00 kr","750 ml","Barefoot Winery","Rött","Kalifornien","Non Vintage","No"
"Don't Tell Gary","7859301","Australien","14,5 %","119,00 kr","750 ml","McPherson WINE Co","Rött","Central Victoria","2016","No"
"Plan B! ""The King"" Chardonnay","7099501","Australien","13 %","139,00 kr","750 ml","Plan B Wines","Vitt","Western Australia","2014","No"
"Scala Dei Cartoixa","7468401","Spanien","15 %","370,00 kr","750 ml","","Rött","Katalonien","2013","No"
"The Pavillion Chenin Blanc","7010801","Sydafrika","12,5 %","79,00 kr","750 ml","Boschendal","Vitt","Western Cape","2017","No"
"Croft 10 Year Old Tawny Port","803901","Portugal","20 %","225,00 kr","750 ml","Croft Port","Starkvin","DOC Porto","","No"
"Dark Horse Cabernet Sauvignon","7514901","USA","13,5 %","89,00 kr","750 ml","Dark Horse","Rött","Kalifornien","2016","No"
"Don David Cabernet Sauvignon","7046501","Argentina","14 %","109,00 kr","750 ml","Bodega El Esteco","Rött","Salta","2017","No"
"Philipponnat Grand Blanc Extra Brut","8572901","Frankrike","12 %","515,00 kr","750 ml","Champagne Philipponnat","Champagne","Champagne","2008","No"
"Boschendal Brut NV","788901","Sydafrika","12,5 %","115,00 kr","750 ml","Boschendal","Mousserande","Western Cape","Non Vintage","No"
